year,avg_delay,num_delays
1986,70.63157894736842,19
1987,2.7974285714285716,3500
1988,2.6253164556962023,1975
1989,12.307468477206596,1031
1990,4.829239230064161,10910
1991,4.34806384865504,13532
1992,9.603913373860182,15792
1993,13.88705054715998,7676
1994,25.315781100859052,6286
1995,15.958393301059793,7643
1996,14.576591154261058,7416
1997,19.3607188703466,7790
1998,16.050969778980605,42123
1999,14.76195215583123,56266
2000,13.232375056535504,70752
2001,16.24330925002544,98270
2002,20.6428357051747,79966
2003,21.33758879701875,68696
2004,20.044645318553126,68921
2005,20.486743491250532,58575
2006,19.5528719894054,44551
2007,14.79042714110783,27766
2008,14.683194206979785,9943
